PlotID,FMS,TremType,Abu
HEW5,EA,Cavity,1
HEW5,EA,"Crown deadw.",4
HEW5,EA,Deformation,0
HEW5,EA,Epiphytes,0
HEW5,EA,Injury,3
HEW5,EA,Other,0
HEW6,EA,Cavity,8
HEW6,EA,"Crown deadw.",5
HEW6,EA,Deformation,1
HEW6,EA,Epiphytes,0
HEW6,EA,Injury,3
HEW6,EA,Other,1
HEW7,UEA,Cavity,18
HEW7,UEA,"Crown deadw.",39
HEW7,UEA,Deformation,2
HEW7,UEA,Epiphytes,22
HEW7,UEA,Injury,30
HEW7,UEA,Other,4
HEW8,UEA,Cavity,14
HEW8,UEA,"Crown deadw.",15
HEW8,UEA,Deformation,2
HEW8,UEA,Epiphytes,0
HEW8,UEA,Injury,1
HEW8,UEA,Other,0
HEW9,UEA,Cavity,14
HEW9,UEA,"Crown deadw.",26
HEW9,UEA,Deformation,3
HEW9,UEA,Epiphytes,0
HEW9,UEA,Injury,6
HEW9,UEA,Other,0
HEW10,UNM,Cavity,31
HEW10,UNM,"Crown deadw.",74
HEW10,UNM,Deformation,5
HEW10,UNM,Epiphytes,0
HEW10,UNM,Injury,15
HEW10,UNM,Other,8
HEW11,UNM,Cavity,4
HEW11,UNM,"Crown deadw.",41
HEW11,UNM,Deformation,10
HEW11,UNM,Epiphytes,2
HEW11,UNM,Injury,12
HEW11,UNM,Other,1
HEW12,UNM,Cavity,21
HEW12,UNM,"Crown deadw.",61
HEW12,UNM,Deformation,0
HEW12,UNM,Epiphytes,0
HEW12,UNM,Injury,14
HEW12,UNM,Other,0
HEW15,EA,Cavity,3
HEW15,EA,"Crown deadw.",2
HEW15,EA,Deformation,0
HEW15,EA,Epiphytes,0
HEW15,EA,Injury,4
HEW15,EA,Other,1
HEW16,EA,Cavity,0
HEW16,EA,"Crown deadw.",10
HEW16,EA,Deformation,0
HEW16,EA,Epiphytes,0
HEW16,EA,Injury,1
HEW16,EA,Other,1
HEW17,EA,Cavity,5
HEW17,EA,"Crown deadw.",1
HEW17,EA,Deformation,1
HEW17,EA,Epiphytes,2
HEW17,EA,Injury,29
HEW17,EA,Other,7
HEW18,EA,Cavity,1
HEW18,EA,"Crown deadw.",4
HEW18,EA,Deformation,3
HEW18,EA,Epiphytes,0
HEW18,EA,Injury,4
HEW18,EA,Other,0
HEW19,EA,Cavity,10
HEW19,EA,"Crown deadw.",17
HEW19,EA,Deformation,2
HEW19,EA,Epiphytes,0
HEW19,EA,Injury,17
HEW19,EA,Other,3
HEW20,EA,Cavity,6
HEW20,EA,"Crown deadw.",16
HEW20,EA,Deformation,0
HEW20,EA,Epiphytes,0
HEW20,EA,Injury,18
HEW20,EA,Other,4
HEW21,EA,Cavity,19
HEW21,EA,"Crown deadw.",19
HEW21,EA,Deformation,1
HEW21,EA,Epiphytes,1
HEW21,EA,Injury,6
HEW21,EA,Other,2
HEW22,EA,Cavity,33
HEW22,EA,"Crown deadw.",18
HEW22,EA,Deformation,0
HEW22,EA,Epiphytes,0
HEW22,EA,Injury,11
HEW22,EA,Other,0
HEW23,EA,Cavity,4
HEW23,EA,"Crown deadw.",8
