"","Species_group","BE_PlotID","PlotID","Species","Abundance"
"1","Bats","HEW10","HEW10","Pipistrellus_nathusii",10
"2","Bats","HEW15","HEW15","Pipistrellus_nathusii",4
"3","Bats","HEW16","HEW16","Pipistrellus_nathusii",2
"4","Bats","HEW22","HEW22","Pipistrellus_nathusii",6
"5","Bats","HEW23","HEW23","Pipistrellus_nathusii",4
"6","Bats","HEW24","HEW24","Pipistrellus_nathusii",8
"7","Bats","HEW30","HEW30","Pipistrellus_nathusii",6
"8","Bats","HEW31","HEW31","Pipistrellus_nathusii",4
"9","Bats","HEW32","HEW32","Pipistrellus_nathusii",6
"10","Bats","HEW33","HEW33","Pipistrellus_nathusii",4
"11","Bats","HEW34","HEW34","Pipistrellus_nathusii",8
"12","Bats","HEW35","HEW35","Pipistrellus_nathusii",4
"13","Bats","HEW38","HEW38","Pipistrellus_nathusii",2
"14","Bats","HEW39","HEW39","Pipistrellus_nathusii",2
"15","Bats","HEW4","HEW4","Pipistrellus_nathusii",4
"16","Bats","HEW40","HEW40","Pipistrellus_nathusii",2
"17","Bats","HEW43","HEW43","Pipistrellus_nathusii",6
"18","Bats","HEW44","HEW44","Pipistrellus_nathusii",2
"19","Bats","HEW45","HEW45","Pipistrellus_nathusii",2
"20","Bats","HEW46","HEW46","Pipistrellus_nathusii",10
"21","Bats","HEW47","HEW47","Pipistrellus_nathusii",6
"22","Bats","HEW49","HEW49","Pipistrellus_nathusii",4
"23","Bats","HEW6","HEW6","Pipistrellus_nathusii",2
"24","Bats","HEW7","HEW7","Pipistrellus_nathusii",26
"25","Bats","HEW8","HEW8","Pipistrellus_nathusii",8
"26","Bats","HEW9","HEW9","Pipistrellus_nathusii",2
"27","Bats","HEW20","HEW20","Pipistrellus_pygmaeus",4
"28","Bats","HEW37","HEW37","Pipistrellus_pygmaeus",6
"29","Bats","HEW39","HEW39","Pipistrellus_pygmaeus",4
"30","Bats","HEW40","HEW40","Pipistrellus_pygmaeus",10
"31","Bats","HEW1","HEW1","Pipistrellus_pipistrellus",6
"32","Bats","HEW10","HEW10","Pipistrellus_pipistrellus",40
"33","Bats","HEW11","HEW11","Pipistrellus_pipistrellus",16
"34","Bats","HEW12","HEW12","Pipistrellus_pipistrellus",68
"35","Bats","HEW13","HEW13","Pipistrellus_pipistrellus",6
"36","Bats","HEW14","HEW14","Pipistrellus_pipistrellus",6
"37","Bats","HEW15","HEW15","Pipistrellus_pipistrellus",12
"38","Bats","HEW16","HEW16","Pipistrellus_pipistrellus",10
"39","Bats","HEW17","HEW17","Pipistrellus_pipistrellus",10
"40","Bats","HEW19","HEW19","Pipistrellus_pipistrellus",4
"41","Bats","HEW2","HEW2","Pipistrellus_pipistrellus",2
"42","Bats","HEW20","HEW20","Pipistrellus_pipistrellus",8
"43","Bats","HEW21","HEW21","Pipistrellus_pipistrellus",10
"44","Bats","HEW22","HEW22","Pipistrellus_pipistrellus",18
"45","Bats","HEW23","HEW23","Pipistrellus_pipistrellus",26
"46","Bats","HEW24","HEW24","Pipistrellus_pipistrellus",38
"47","Bats","HEW26","HEW26","Pipistrellus_pipistrellus",34
"48","Bats","HEW28","HEW28","Pipistrellus_pipistrellus",6
"49","Bats","HEW29","HEW29","Pipistrellus_pipistrellus",24
"50","Bats","HEW3","HEW3","Pipistrellus_pipistrellus",8
"51","Bats","HEW30","HEW30","Pipistrellus_pipistrellus",28
"52","Bats","HEW31","HEW31","Pipistrellus_pipistrellus",16
"53","Bats","HEW32","HEW32","Pipistrellus_pipistrellus",16
"54","Bats","HEW34","HEW34","Pipistrellus_pipistrellus",20
"55","Bats","HEW35","HEW35","Pipistrellus_pipistrellus",18
"56","Bats","HEW36","HEW36","Pipistrellus_pipistrellus",2
"57","Bats","HEW37","HEW37","Pipistrellus_pipistrellus",70
"58","Bats","HEW38","HEW38","Pipistrellus_pipistrellus",22
"59","Bats","HEW39","HEW39","Pipistrellus_pipistrellus",40
"60","Bats","HEW4","HEW4","Pipistrellus_pipistrellus",180
"61","Bats","HEW40","HEW40","Pipistrellus_pipistrellus",82
"62","Bats","HEW41","HEW41","Pipistrellus_pipistrellus",14
"63","Bats","HEW42","HEW42","Pipistrellus_pipistrellus",10
"64","Bats","HEW44","HEW44","Pipistrellus_pipistrellus",6
"65","Bats","HEW45","HEW45","Pipistrellus_pipistrellus",8
"66","Bats","HEW46","HEW46","Pipistrellus_pipistrellus",70
"67","Bats","HEW47","HEW47","Pipistrellus_pipistrellus",16
"68","Bats","HEW48","HEW48","Pipistrellus_pipistrellus",2
"69","Bats","HEW5","HEW5","Pipistrellus_pipistrellus",4
"70","Bats","HEW50","HEW50","Pipistrellus_pipistrellus",2
"71","Bats","HEW6","HEW6","Pipistrellus_pipistrellus",42
"72","Bats","HEW7","HEW7","Pipistrellus_pipistrellus",26
"73","Bats","HEW9","HEW9","Pipistrellus_pipistrellus",8
"74","Bats","HEW1","HEW1","Nyctalus_noctula",6
"75","Bats","HEW10","HEW10","Nyctalus_noctula",3
"76","Bats","HEW19","HEW19","Nyctalus_noctula",3
"77","Bats","HEW24","HEW24","Nyctalus_noctula",9
"78","Bats","HEW26","HEW26","Nyctalus_noctula",6
"79","Bats","HEW3","HEW3","Nyctalus_noctula",3
"80","Bats","HEW30","HEW30","Nyctalus_noctula",12
"81","Bats","HEW31","HEW31","Nyctalus_noctula",12
"82","Bats","HEW32","HEW32","Nyctalus_noctula",3
"83","Bats","HEW34","HEW34","Nyctalus_noctula",6
"84","Bats","HEW35","HEW35","Nyctalus_noctula",9
"85","Bats","HEW36","HEW36","Nyctalus_noctula",3
"86","Bats","HEW37","HEW37","Nyctalus_noctula",51
"87","Bats","HEW40","HEW40","Nyctalus_noctula",9
"88","Bats","HEW41","HEW41","Nyctalus_noctula",6
"89","Bats","HEW42","HEW42","Nyctalus_noctula",12
"90","Bats","HEW46","HEW46","Nyctalus_noctula",24
"91","Bats","HEW48","HEW48","Nyctalus_noctula",15
"92","Bats","HEW7","HEW7","Nyctalus_noctula",3
"93","Bats","HEW10","HEW10","Eptesicus_nilssonii",4
"94","Bats","HEW12","HEW12","Eptesicus_nilssonii",6
"95","Bats","HEW21","HEW21","Eptesicus_nilssonii",2
"96","Bats","HEW23","HEW23","Eptesicus_nilssonii",2
"97","Bats","HEW24","HEW24","Eptesicus_nilssonii",2
"98","Bats","HEW27","HEW27","Eptesicus_nilssonii",2
"99","Bats","HEW3","HEW3","Eptesicus_nilssonii",4
"100","Bats","HEW30","HEW30","Eptesicus_nilssonii",2
"101","Bats","HEW37","HEW37","Eptesicus_nilssonii",16
"102","Bats","HEW38","HEW38","Eptesicus_nilssonii",8
"103","Bats","HEW39","HEW39","Eptesicus_nilssonii",6
"104","Bats","HEW4","HEW4","Eptesicus_nilssonii",2
"105","Bats","HEW41","HEW41","Eptesicus_nilssonii",8
