Exploratory,EP_Plotid,species,dbh,date_in,source
ALB,AEW25,Fagus_sylvatica,8.8,2012-03-01,Hailer
ALB,AEW26,Sorbus_aria,7,2014-03-14,Hailer
ALB,AEW36,Abies_alba,47,2014-02-21,Hailer
ALB,AEW25,Fagus_sylvatica,9.3,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,9,2012-03-01,Hailer
ALB,AEW36,Abies_alba,88,2014-02-21,Hailer
ALB,AEW25,Fagus_sylvatica,8.6,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,8.3,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,7.4,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,9.6,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,10.2,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,7.8,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,9.2,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,8.9,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,8.7,2012-03-01,Hailer
ALB,AEW25,Fagus_sylvatica,8.3,2012-03-01,Hailer
ALB,AEW42,Fagus_sylvatica,11.4,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,16.5,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,39.7,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,32.7,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,44.2,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,11,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,46.8,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,44.2,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,27.2,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,21,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,17.6,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,31,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,15,2010-04-17,Schulze
ALB,AEW42,Fagus_sylvatica,25,2010-04-17,Schulze
HAI,HEW13,Picea_abies,17.8,2009-06-26,Schulze
HAI,HEW13,Picea_abies,39.3,2009-06-26,Schulze
HAI,HEW17,Acer_pseudoplata,19.4,2009-04-07,Schulze
HAI,HEW17,Acer_pseudoplata,15.6,2009-04-07,Schulze
HAI,HEW18,Fagus_sylvatica,15.5,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,13.6,2009-05-08,Schulze
HAI,HEW18,Fagus_sylvatica,10.9,2009-05-08,Schulze
HAI,HEW18,Fagus_sylvatica,16.8,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,23.2,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,13.4,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,8.7,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,27.9,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,14.8,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,24.2,2009-05-08,Schulze
HAI,HEW18,Fagus_sylvatica,13.6,2009-05-08,Schulze
HAI,HEW18,Fagus_sylvatica,16.5,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,24.4,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,15.3,2009-04-14,Schulze
HAI,HEW18,Fagus_sylvatica,24.2,2009-04-14,Schulze
