"","n_Species","n_Individuals","Simpson_diversity_a","Evenness_simpson_a","PlotID","Species_group"
"1",13,40,0.767025089605735,0.299041026823562,"HEW20","birds"
"2",13,40,0.772343623540294,0.30111457027154,"HEW7","birds"
"3",13,41,0.766094182825485,0.298678093037934,"HEW12","birds"
"4",17,41,0.783389450056117,0.276502103768354,"HEW15","birds"
"5",18,42,0.783160322952711,0.270954876587486,"HEW10","birds"
"6",13,23,0.784257397299627,0.305759408082733,"HEW17","birds"
"7",14,46,0.77127091491634,0.292252429025019,"HEW48","birds"
"8",17,47,0.775261748234721,0.273633381637546,"HEW24","birds"
"9",13,35,0.77805196690376,0.303340089206976,"HEW34","birds"
"10",13,53,0.760398276957842,0.296457423124482,"HEW38","birds"
"11",15,49,0.768893413736393,0.28392878884721,"HEW39","birds"
"12",10,23,0.771683673469388,0.335137961162586,"HEW47","birds"
"13",19,46,0.780456131807483,0.265061065055058,"HEW1","birds"
"14",8,33,0.746895544192842,0.359180832556359,"HEW11","birds"
"15",10,32,0.757487216946676,0.328972518432193,"HEW16","birds"
"16",13,42,0.768200658943565,0.299499347505181,"HEW21","birds"
"17",12,34,0.7734375,0.311254147139083,"HEW22","birds"
"18",13,31,0.779377777777778,0.303856984743398,"HEW28","birds"
"19",13,44,0.767179688265856,0.299101300395698,"HEW29","birds"
"20",13,36,0.764844290657439,0.298190796021948,"HEW3","birds"
"21",14,35,0.774659863945578,0.293536580373763,"HEW35","birds"
"22",15,48,0.764386007629251,0.282264341819858,"HEW37","birds"
"23",13,30,0.782135485081629,0.304932135523989,"HEW40","birds"
"24",11,42,0.762770083102493,0.318099831863104,"HEW41","birds"
"25",14,49,0.768654336734694,0.291260946895289,"HEW42","birds"
"26",8,29,0.75068870523416,0.361004957430893,"HEW46","birds"
"27",7,20,0.75871435038479,0.389902046994886,"HEW5","birds"
"28",13,49,0.76584692800909,0.298581695494771,"HEW50","birds"
"29",16,55,0.763542454018645,0.275389727980222,"HEW2","birds"
"30",12,30,0.772762345679012,0.310982445052791,"HEW32","birds"
"31",11,32,0.7712,0.321615380266379,"HEW6","birds"
"32",14,39,0.774102079395085,0.293325222877193,"HEW30","birds"
"33",14,43,0.7732,0.29298340408267,"HEW26","birds"
"34",13,34,0.776710867245847,0.30281723301334,"HEW31","birds"
"35",14,46,0.773228907084372,0.292994357647054,"HEW33","birds"
"36",10,27,0.77099609375,0.334839349084587,"HEW36","birds"
"37",10,25,0.773888888888889,0.336095674050683,"HEW45","birds"
"38",11,23,0.781163434903047,0.325770455350796,"HEW8","birds"
"39",11,34,0.770068899214869,0.321143674601014,"HEW14","birds"
"40",16,54,0.769771071800208,0.277636226976486,"HEW19","birds"
"41",12,27,0.775482093663912,0.312076952158373,"HEW23","birds"
"42",10,33,0.76904432132964,0.333991705092494,"HEW25","birds"
"43",10,23,0.774234693877551,0.336245855249074,"HEW4","birds"
"44",8,24,0.760841836734694,0.365887581585998,"HEW43","birds"
"45",11,36,0.766439250979823,0.319629993717524,"HEW44","birds"
"46",10,43,0.747178819444444,0.324495638279708,"HEW13","birds"
"47",8,20,0.758680555555556,0.364848225039628,"HEW18","birds"
"48",9,30,0.767065742491073,0.349106664108508,"HEW27","birds"
"49",12,39,0.768148148148148,0.309125555365906,"HEW49","birds"
"50",13,44,0.770120576414077,0.30024786812019,"HEW9","birds"
