"","PlotID","Simpson_diversity_a","Evenness_simpson_a","vert_sd","mean_height","mean_dbh","n_Layer","geom","n_TreMs"
"1","HEW01",1.42778829011545,0.85428818820398,NA,NA,42.5697841726619,22.31,c(592505.1692386, 5671267.15452746),NA
"2","HEW10",1.46586667795636,0.651980548129093,NA,NA,28.8218997361478,20.44,c(602413.491806622, 5660849.75738023),22.1666666666667
"3","HEW11",1.27582116402755,0.359180832556359,6.16927072829901,6.14058222315178,22.4261946902655,19.18,c(598080.197584547, 5662192.18036659),11.6666666666667
"4","HEW12",1.33117222652996,0.813034294523301,8.87770560614468,10.4642715081531,32.1481595092025,23.73,c(601884.389803982, 5662030.27323907),16
"5","HEW13",1.31522615672255,0.324495638279708,NA,NA,26.3684053651267,17.94,c(591646.813044197, 5677625.42065599),NA
"6","HEW14",1.43673556588154,1.28294036852699,NA,NA,33.4576923076923,22.79,c(587587.975582928, 5691292.97796391),NA
"7","HEW15",1.42006765074816,1.19503458654887,NA,NA,14.0177142857143,5.93,c(597114.794550513, 5673549.64609265),1.66666666666667
"8","HEW16",1.38470615185792,1.2338581653803,NA,NA,12.8777777777778,9.53,c(595433.351106428, 5671077.33433542),2
"9","HEW17",1.32847508437446,0.305759408082733,NA,NA,11.9303588748788,8.99,c(585567.618950479, 5681986.25374223),7.5
"10","HEW18",1.39868055555556,0.364848225039628,NA,NA,13.8043729903537,12.6,c(595115.855018737, 5688183.03054725),2
"11","HEW19",1.51722005139204,0.816806695063815,NA,NA,32.3379310344828,23.76,c(593463.34490109, 5672830.41867737),8.16666666666667
"12","HEW02",1.40354245401864,0.275389727980222,NA,NA,25.5425531914894,NA,c(595693.682212356, 5674066.89275925),NA
"13","HEW20",1.42974698309686,1.25514661605175,8.02496589080798,8.77224416702197,32.5966463414634,22.36,c(594757.604464488, 5687838.65151939),7.33333333333333
"14","HEW21",1.44955970393897,0.919699077677002,7.62090354564794,8.84143117859647,34.6349480968858,23.95,c(592164.004551693, 5672259.10358538),8
"15","HEW22",1.43761446064349,0.91581407013858,NA,NA,54.5753846153846,21.72,c(594685.989459152, 5688194.34880306),10.3333333333333
"16","HEW23",1.39031836009296,0.871725039814882,NA,NA,50.71,5.25,c(584288.035737899, 5681458.072154),3.33333333333333
"17","HEW24",1.44325108421339,0.688678491994373,NA,NA,54.4864864864865,12.7,c(604529.711288395, 5656059.32941297),10.1666666666667
"18","HEW25",1.40904432132964,0.333991705092494,NA,NA,48.6898876404494,9.12,c(585357.608490473, 5682182.01302229),10.8333333333333
"19","HEW26",1.43846386667789,0.706335085149851,7.10157776304233,7.85487686999184,33.2647619047619,19.38,c(605377.884590038, 5689203.31158997),5
"20","HEW27",1.40706574249107,0.349106664108508,NA,NA,30.2953125,21,c(605923.743873216, 5690525.67175563),2.16666666666667
"21","HEW28",1.34742511505588,0.303856984743398,NA,NA,31.0458937198068,17.33,c(606313.104066331, 5690842.54893115),6
"22","HEW29",1.37160370435319,0.849271749353717,NA,NA,32.1708502024292,19.14,c(596543.47358162, 5664913.97513036),11
"23","HEW03",1.48922102195938,0.82071815501428,NA,NA,27.7207373271889,17.4,c(591435.998489807, 5680849.73679907),NA
"24","HEW30",1.44530207939509,0.777493678599529,NA,NA,23.4167082294264,17.83,c(596456.805633143, 5665704.78053748),9
"25","HEW31",1.4539218273706,0.91924121362051,NA,NA,24.4269972451791,15.2,c(596346.258505725, 5666544.29014436),6.16666666666667
